date,lat,lon,rainfall_mm
2023-01-01,25.75,91.50,0.00
2023-01-01,25.75,91.75,0.00
2023-01-01,25.75,92.00,0.00
2023-01-01,25.75,92.25,0.00
2023-01-01,25.75,92.50,0.00
2023-01-01,25.75,92.75,0.00
2023-01-01,25.75,93.00,0.00
2023-01-01,26.00,91.50,0.00
2023-01-01,26.00,91.75,0.00
2023-01-01,26.00,92.00,0.00
2023-01-01,26.00,92.25,0.00
2023-01-01,26.00,92.50,0.00
2023-01-01,26.00,92.75,0.00
2023-01-01,26.00,93.00,0.00
2023-01-01,26.25,91.50,0.00
2023-01-01,26.25,91.75,0.00
2023-01-01,26.25,92.00,0.00
2023-01-01,26.25,92.25,0.00
2023-01-01,26.25,92.50,0.00
2023-01-01,26.25,92.75,0.00
2023-01-01,26.25,93.00,0.00
2023-01-01,26.50,91.50,0.00
2023-01-01,26.50,91.75,0.00
2023-01-01,26.50,92.00,0.00
2023-01-01,26.50,92.25,0.00
2023-01-01,26.50,92.50,0.00
2023-01-01,26.50,92.75,0.00
2023-01-01,26.50,93.00,0.00
2023-01-01,26.75,91.50,0.00
2023-01-01,26.75,91.75,0.00
2023-01-01,26.75,92.00,0.00
2023-01-01,26.75,92.25,0.00
2023-01-01,26.75,92.50,0.00
2023-01-01,26.75,92.75,0.00
2023-01-01,26.75,93.00,0.00
2023-01-01,27.00,91.50,0.00
2023-01-01,27.00,91.75,0.00
2023-01-01,27.00,92.00,0.00
2023-01-01,27.00,92.25,0.00
2023-01-01,27.00,92.50,0.00
2023-01-01,27.00,92.75,0.00
2023-01-01,27.00,93.00,0.00
2023-01-01,27.25,91.50,
2023-01-01,27.25,91.75,
2023-01-01,27.25,92.00,0.00
2023-01-01,27.25,92.25,0.00
2023-01-01,27.25,92.50,0.00
2023-01-01,27.25,92.75,0.00
2023-01-01,27.25,93.00,0.00
2023-01-01,27.50,91.50,
2023-01-01,27.50,91.75,0.00
2023-01-01,27.50,92.00,0.00
2023-01-01,27.50,92.25,0.00
2023-01-01,27.50,92.50,0.00
2023-01-01,27.50,92.75,0.00
2023-01-01,27.50,93.00,0.00
2023-01-01,27.75,91.50,0.00
2023-01-01,27.75,91.75,0.00
2023-01-01,27.75,92.00,0.00
2023-01-01,27.75,92.25,0.00
2023-01-01,27.75,92.50,0.00
2023-01-01,27.75,92.75,0.00
2023-01-01,27.75,93.00,0.00
2023-01-01,28.00,91.50,0.00
2023-01-01,28.00,91.75,0.00
2023-01-01,28.00,92.00,0.00
2023-01-01,28.00,92.25,0.00
2023-01-01,28.00,92.50,0.00
2023-01-01,28.00,92.75,0.00
2023-01-01,28.00,93.00,0.00
2023-01-02,25.75,91.50,0.00
2023-01-02,25.75,91.75,0.00
2023-01-02,25.75,92.00,0.00
2023-01-02,25.75,92.25,0.00
2023-01-02,25.75,92.50,0.00
2023-01-02,25.75,92.75,0.00
2023-01-02,25.75,93.00,0.00
2023-01-02,26.00,91.50,0.00
2023-01-02,26.00,91.75,0.00
2023-01-02,26.00,92.00,0.00
2023-01-02,26.00,92.25,0.00
2023-01-02,26.00,92.50,0.00
2023-01-02,26.00,92.75,0.00
2023-01-02,26.00,93.00,0.00
2023-01-02,26.25,91.50,0.00
2023-01-02,26.25,91.75,0.00
2023-01-02,26.25,92.00,0.00
2023-01-02,26.25,92.25,0.00
2023-01-02,26.25,92.50,0.00
2023-01-02,26.25,92.75,0.00
2023-01-02,26.25,93.00,0.00
2023-01-02,26.50,91.50,0.00
2023-01-02,26.50,91.75,0.00
2023-01-02,26.50,92.00,0.00
2023-01-02,26.50,92.25,0.00
2023-01-02,26.50,92.50,0.00
2023-01-02,26.50,92.75,0.00
2023-01-02,26.50,93.00,0.00
2023-01-02,26.75,91.50,0.00
2023-01-02,26.75,91.75,0.00
2023-01-02,26.75,92.00,0.00
2023-01-02,26.75,92.25,0.00
2023-01-02,26.75,92.50,0.00
2023-01-02,26.75,92.75,0.00
2023-01-02,26.75,93.00,0.00
2023-01-02,27.00,91.50,0.00
2023-01-02,27.00,91.75,0.00
2023-01-02,27.00,92.00,0.00
2023-01-02,27.00,92.25,0.00
2023-01-02,27.00,92.50,0.00
2023-01-02,27.00,92.75,0.00
2023-01-02,27.00,93.00,0.00
2023-01-02,27.25,91.50,
2023-01-02,27.25,91.75,
2023-01-02,27.25,92.00,0.00
2023-01-02,27.25,92.25,0.00
2023-01-02,27.25,92.50,0.00
2023-01-02,27.25,92.75,0.00
2023-01-02,27.25,93.00,0.00
2023-01-02,27.50,91.50,
