slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record,distance_to_road_m,matched_segment_id,matched_road_name,matched_highway_class,match_status,district,movement_type,within_network_bbox,geographically_consistent
936,AR/WKG/83A12/2021/048,Arunachal Pradesh,West Kameng NH 13 Slide 33 NH 13/ Sedal,27.1105,92.537444,Debris Slide NA,936 AR/WKG/83A12/2021/048 Arunachal Pradesh West Kameng NH 13 Slide 33 NH 13/ Sedal 27.1105 92.537444 Debris Slide NA,36.14,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
939,AR/WKG/83A12/2021/046,Arunachal Pradesh,West Kameng Seppa Road Slide 7 Seppa Road Section,27.112694,92.543472,Debris Slide NA,939 AR/WKG/83A12/2021/046 Arunachal Pradesh West Kameng Seppa Road Slide 7 Seppa Road Section 27.112694 92.543472 Debris Slide NA,20.03,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
940,AR/WKG/83A12/2021/005,Arunachal Pradesh,West Kameng NH 13 Slide 3 NH 13,27.11375,92.537583,Debris Slide NA,940 AR/WKG/83A12/2021/005 Arunachal Pradesh West Kameng NH 13 Slide 3 NH 13 27.11375 92.537583 Debris Slide NA,76.14,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
945,AR/WKG/83A12/2021/047,Arunachal Pradesh,West Kameng NH 13 Slide 32 NH 13/ Sedal,27.116194,92.543111,Debris Slide NA,945 AR/WKG/83A12/2021/047 Arunachal Pradesh West Kameng NH 13 Slide 32 NH 13/ Sedal 27.116194 92.543111 Debris Slide NA,19.4,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
959,AR/WKG/83A12/2021/055,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 4 Pinjori-Kimi Road,27.134444,92.599611,Debris Slide NA,959 AR/WKG/83A12/2021/055 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 4 Pinjori-Kimi Road 27.134444 92.599611 Debris Slide NA,0.92,seg_565307022_0,,secondary,MATCHED,West Kameng,Debris Slide,True,True
963,AR/WKG/83A12/2021/056,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 5 Pinjori-Kimi Road,27.148056,92.613889,Debris Slide NA,963 AR/WKG/83A12/2021/056 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 5 Pinjori-Kimi Road 27.148056 92.613889 Debris Slide NA,1.82,seg_565307022_0,,secondary,MATCHED,West Kameng,Debris Slide,True,True
965,AR/WKG/83A12/2021/006,Arunachal Pradesh,West Kameng NH 13 Slide 4 NH 13,27.152417,92.561778,Debris Slide NA,965 AR/WKG/83A12/2021/006 Arunachal Pradesh West Kameng NH 13 Slide 4 NH 13 27.152417 92.561778 Debris Slide NA,1.1,seg_565306892_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
966,AR/WKG/83A12/2021/007,Arunachal Pradesh,West Kameng NH 13 Slide 5 NH 13,27.153056,92.56175,Debris Slide NA,966 AR/WKG/83A12/2021/007 Arunachal Pradesh West Kameng NH 13 Slide 5 NH 13 27.153056 92.56175 Debris Slide NA,0.52,seg_565306892_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
978,AR/WKG/83A12/2021/041,Arunachal Pradesh,West Kameng Seppa Road Slide 2 Seppa Road Section,27.166306,92.587139,Debris Slide NA,978 AR/WKG/83A12/2021/041 Arunachal Pradesh West Kameng Seppa Road Slide 2 Seppa Road Section 27.166306 92.587139 Debris Slide NA,20.65,seg_288458018_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
979,AR/WKG/83A12/2021/040,Arunachal Pradesh,West Kameng Seppa Road Slide 1 Seppa Road Section,27.167139,92.587917,Debris Slide NA,979 AR/WKG/83A12/2021/040 Arunachal Pradesh West Kameng Seppa Road Slide 1 Seppa Road Section 27.167139 92.587917 Debris Slide NA,16.03,seg_288458018_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
991,AR/WKG/83A12/2021/042,Arunachal Pradesh,West Kameng Seppa Road Slide 3 Seppa Road Section,27.182278,92.599889,Debris Slide NA,991 AR/WKG/83A12/2021/042 Arunachal Pradesh West Kameng Seppa Road Slide 3 Seppa Road Section 27.182278 92.599889 Debris Slide NA,22.95,seg_238560159_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
992,AR/WKG/83A12/2021/043,Arunachal Pradesh,West Kameng Seppa Road Slide 4 Seppa Road Section,27.183833,92.599333,Debris Slide NA,992 AR/WKG/83A12/2021/043 Arunachal Pradesh West Kameng Seppa Road Slide 4 Seppa Road Section 27.183833 92.599333 Debris Slide NA,12.51,seg_238560159_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
997,AR/WKG/83A12/2021/044,Arunachal Pradesh,West Kameng Seppa Road Slide 5 Seppa Road Section,27.190861,92.607806,Debris Slide NA,997 AR/WKG/83A12/2021/044 Arunachal Pradesh West Kameng Seppa Road Slide 5 Seppa Road Section 27.190861 92.607806 Debris Slide NA,45.49,seg_238560159_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
998,AR/WKG/83A12/2021/045,Arunachal Pradesh,West Kameng Seppa Road Slide 6 Seppa Road Section,27.191667,92.610111,Debris Slide NA,998 AR/WKG/83A12/2021/045 Arunachal Pradesh West Kameng Seppa Road Slide 6 Seppa Road Section 27.191667 92.610111 Debris Slide NA,26.55,seg_238560159_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1002,AR/WKG/83A12/2021/008,Arunachal Pradesh,West Kameng NH 13 Slide 6 NH 13,27.204139,92.529278,Rock Fall NA,1002 AR/WKG/83A12/2021/008 Arunachal Pradesh West Kameng NH 13 Slide 6 NH 13 27.204139 92.529278 Rock Fall NA,4.82,seg_157598093_0,,trunk,MATCHED,West Kameng,Rock Fall,True,True
1003,AR/WKG/83A12/2021/009,Arunachal Pradesh,West Kameng NH 13 Slide 7 NH 13,27.20675,92.537389,Debris Slide NA,1003 AR/WKG/83A12/2021/009 Arunachal Pradesh West Kameng NH 13 Slide 7 NH 13 27.20675 92.537389 Debris Slide NA,9.75,seg_238560167_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1004,AR/WKG/83A12/2021/010,Arunachal Pradesh,West Kameng NH 13 Slide 8 NH 13,27.206917,92.537667,Debris Slide NA,1004 AR/WKG/83A12/2021/010 Arunachal Pradesh West Kameng NH 13 Slide 8 NH 13 27.206917 92.537667 Debris Slide NA,11.67,seg_238560167_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1008,AR/WKG/83A12/2021/011,Arunachal Pradesh,West Kameng NH 13 Slide 9 NH 13/ W of New Kaspi,27.208222,92.55475,Debris Slide NA,1008 AR/WKG/83A12/2021/011 Arunachal Pradesh West Kameng NH 13 Slide 9 NH 13/ W of New Kaspi 27.208222 92.55475 Debris Slide NA,3.41,seg_238560178_1,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1057,AR/WKG/83A07/2021/012,Arunachal Pradesh,West Kameng West of Bomdila Slide 1 W of Bomdila,27.266667,92.404389,Debris Slide NA,1057 AR/WKG/83A07/2021/012 Arunachal Pradesh West Kameng West of Bomdila Slide 1 W of Bomdila 27.266667 92.404389 Debris Slide NA,327.46,seg_1168516993_0,,tertiary,MATCHED,West Kameng,Debris Slide,True,True
1067,AR/WKG/83A07/2021/013,Arunachal Pradesh,West Kameng NH 13 Slide 10 NH 13/ NW of Bomdila,27.277417,92.425278,Debris Slide NA,1067 AR/WKG/83A07/2021/013 Arunachal Pradesh West Kameng NH 13 Slide 10 NH 13/ NW of Bomdila 27.277417 92.425278 Debris Slide NA,9.81,seg_288458015_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1068,AR/WKG/83A07/2021/014,Arunachal Pradesh,West Kameng NH 13 Slide 11 NH 13/ NW of Bomdila,27.278417,92.426917,Debris Slide NA,1068 AR/WKG/83A07/2021/014 Arunachal Pradesh West Kameng NH 13 Slide 11 NH 13/ NW of Bomdila 27.278417 92.426917 Debris Slide NA,14.83,seg_288458015_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1075,AR/WKG/83A07/2021/015,Arunachal Pradesh,West Kameng NH 13 Slide 12 NH 13/ S of Tinghei,27.291528,92.391778,Debris Slide NA,1075 AR/WKG/83A07/2021/015 Arunachal Pradesh West Kameng NH 13 Slide 12 NH 13/ S of Tinghei 27.291528 92.391778 Debris Slide NA,27.86,seg_238496657_4,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1076,AR/WKG/83A07/2021/016,Arunachal Pradesh,West Kameng NH 13 Slide 13 NH 13/ S of Tinghei,27.292167,92.391889,Debris Slide NA,1076 AR/WKG/83A07/2021/016 Arunachal Pradesh West Kameng NH 13 Slide 13 NH 13/ S of Tinghei 27.292167 92.391889 Debris Slide NA,7.19,seg_238496657_4,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1077,AR/WKG/83A07/2021/017,Arunachal Pradesh,West Kameng NH 13 Slide 14 NH 13/ S of Tinghei,27.292444,92.391861,Debris Slide NA,1077 AR/WKG/83A07/2021/017 Arunachal Pradesh West Kameng NH 13 Slide 14 NH 13/ S of Tinghei 27.292444 92.391861 Debris Slide NA,12.79,seg_238496657_4,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1079,AR/WKG/83A07/2021/018,Arunachal Pradesh,West Kameng NH 13 Slide 15 NH 13/ S of Tinghei,27.293806,92.391694,Debris Slide NA,1079 AR/WKG/83A07/2021/018 Arunachal Pradesh West Kameng NH 13 Slide 15 NH 13/ S of Tinghei 27.293806 92.391694 Debris Slide NA,10.86,seg_238496657_4,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1094,AR/WKG/83A07/2021/019,Arunachal Pradesh,West Kameng NH 13 Slide 16 NH 13/ N of Tinghei,27.300667,92.391833,Debris Slide NA,1094 AR/WKG/83A07/2021/019 Arunachal Pradesh West Kameng NH 13 Slide 16 NH 13/ N of Tinghei 27.300667 92.391833 Debris Slide NA,6.56,seg_238496657_4,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1110,AR/WKG/83A07/2021/020,Arunachal Pradesh,West Kameng NH 13 Slide 17 NH 13/ N of Dharbu,27.325278,92.373722,Debris Slide NA,1110 AR/WKG/83A07/2021/020 Arunachal Pradesh West Kameng NH 13 Slide 17 NH 13/ N of Dharbu 27.325278 92.373722 Debris Slide NA,2.48,seg_238496657_2,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1122,AR/WKG/83A07/2021/021,Arunachal Pradesh,West Kameng NH 13 Slide 18 NH 13/ SE of Dirang Village,27.340556,92.274944,Debris Slide NA,1122 AR/WKG/83A07/2021/021 Arunachal Pradesh West Kameng NH 13 Slide 18 NH 13/ SE of Dirang Village 27.340556 92.274944 Debris Slide NA,4.06,seg_238496657_1,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1124,AP/WK/83E12/2008/A-14,Arunachal Pradesh,West Kameng Slide at 5 km N of Dirang,27.345556,92.266389,Debris Flow 2008,1124 AP/WK/83E12/2008/A-14 Arunachal Pradesh West Kameng Slide at 5 km N of Dirang  27.345556 92.266389 Debris Flow 2008,17.89,seg_238496656_2,,trunk,MATCHED,West Kameng,Debris Flow,True,True
1131,AR/WKG/83A03/2021/039,Arunachal Pradesh,West Kameng NH 13 Slide 31 NH 13,27.358194,92.24325,Debris Slide NA,1131 AR/WKG/83A03/2021/039 Arunachal Pradesh West Kameng NH 13 Slide 31 NH 13 27.358194 92.24325 Debris Slide NA,82.67,seg_238496656_2,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1133,AR/WKG/83A03/2021/034,Arunachal Pradesh,West Kameng Dirang- Rungkhung Road Section Slide 1 Dirang- Rungkhung Road Section,27.362028,92.244028,Debris Slide NA,1133 AR/WKG/83A03/2021/034 Arunachal Pradesh West Kameng Dirang- Rungkhung Road Section Slide 1 Dirang- Rungkhung Road Section 27.362028 92.244028 Debris Slide NA,365.49,seg_238496656_2,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1134,AR/WKG/83A03/2021/035,Arunachal Pradesh,West Kameng Dirang- Rungkhung Road Section Slide 2 Dirang- Rungkhung Road Section,27.362444,92.243972,Debris Slide NA,1134 AR/WKG/83A03/2021/035 Arunachal Pradesh West Kameng Dirang- Rungkhung Road Section Slide 2 Dirang- Rungkhung Road Section 27.362444 92.243972 Debris Slide NA,374.34,seg_238496656_2,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1135,AR/WKG/83A03/2021/036,Arunachal Pradesh,West Kameng Dirang-Rungkhung Road Section Slide 3 Dirang-Rungkhung Road Section,27.363417,92.24375,Debris Slide NA,1135 AR/WKG/83A03/2021/036 Arunachal Pradesh West Kameng Dirang-Rungkhung Road Section Slide 3 Dirang-Rungkhung Road Section 27.363417 92.24375 Debris Slide NA,404.11,seg_238496656_2,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1137,AR/WKG/83A03/2021/037,Arunachal Pradesh,West Kameng Dirang Town Baptist Church Slide 1 Dirang-Rungkhung Road Section,27.367611,92.2415,Debris Slide NA,1137 AR/WKG/83A03/2021/037 Arunachal Pradesh West Kameng Dirang Town Baptist Church Slide 1 Dirang-Rungkhung Road Section 27.367611 92.2415 Debris Slide NA,451.63,seg_238496656_2,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1138,AR/WKG/83A03/2021/038,Arunachal Pradesh,West Kameng Dirang Town Baptist Church Slide 2 Dirang-Rungkhung Road Section,27.368333,92.241583,Debris Slide NA,1138 AR/WKG/83A03/2021/038 Arunachal Pradesh West Kameng Dirang Town Baptist Church Slide 2 Dirang-Rungkhung Road Section 27.368333 92.241583 Debris Slide NA,467.68,seg_238496656_2,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1140,AR/WKG/83A03/2021/024,Arunachal Pradesh,West Kameng NH 13 Slide 21 NH 13/ W of Milumkang,27.394306,92.157333,Rock Slide NA,1140 AR/WKG/83A03/2021/024 Arunachal Pradesh West Kameng NH 13 Slide 21 NH 13/ W of Milumkang 27.394306 92.157333 Rock Slide NA,20.29,seg_238491396_0,,trunk,MATCHED,West Kameng,Rock Slide,True,True
1141,AR/WKG/83A03/2021/023,Arunachal Pradesh,West Kameng NH 13 Slide 20 NH 13/ W of Milumkang,27.395444,92.164167,Debris Slide NA,1141 AR/WKG/83A03/2021/023 Arunachal Pradesh West Kameng NH 13 Slide 20 NH 13/ W of Milumkang 27.395444 92.164167 Debris Slide NA,9.4,seg_238491396_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1142,AR/WKG/83A03/2021/022,Arunachal Pradesh,West Kameng NH 13 Slide 19 NH 13/ W of Milumkang,27.396722,92.163861,Rock Slide NA,1142 AR/WKG/83A03/2021/022 Arunachal Pradesh West Kameng NH 13 Slide 19 NH 13/ W of Milumkang 27.396722 92.163861 Rock Slide NA,88.97,seg_238491396_0,,trunk,MATCHED,West Kameng,Rock Slide,True,True
1143,AR/WKG/83A03/2021/025,Arunachal Pradesh,West Kameng NH 13 Slide 22 NH 13/ NW of Milumkang,27.403722,92.141056,Debris Slide NA,1143 AR/WKG/83A03/2021/025 Arunachal Pradesh West Kameng NH 13 Slide 22 NH 13/ NW of Milumkang 27.403722 92.141056 Debris Slide NA,1.56,seg_238491396_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1144,AR/WKG/83A03/2021/032,Arunachal Pradesh,West Kameng NH 13 Slide 29 NH 13/ S of Nyakmadung,27.405861,92.133778,Debris Slide NA,1144 AR/WKG/83A03/2021/032 Arunachal Pradesh West Kameng NH 13 Slide 29 NH 13/ S of Nyakmadung 27.405861 92.133778 Debris Slide NA,8.7,seg_238491396_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1145,AR/WKG/83A07/2021/033,Arunachal Pradesh,West Kameng NH 13 Slide 30 NH 13/ S of Nyakmadung,27.409778,92.132167,Soil Slide NA,1145 AR/WKG/83A07/2021/033 Arunachal Pradesh West Kameng NH 13 Slide 30 NH 13/ S of Nyakmadung 27.409778 92.132167 Soil Slide NA,16.16,seg_238491396_0,,trunk,MATCHED,West Kameng,Soil Slide,True,True
1153,AR/WKG/83A03/2021/026,Arunachal Pradesh,West Kameng NH 13 Slide 23 NH 13/ NW of Milumkang,27.433056,92.123583,Soil Slide NA,1153 AR/WKG/83A03/2021/026 Arunachal Pradesh West Kameng NH 13 Slide 23 NH 13/ NW of Milumkang 27.433056 92.123583 Soil Slide NA,3.9,seg_284662840_0,,trunk,MATCHED,West Kameng,Soil Slide,True,True
1157,AR/WKG/83A03/2021/027,Arunachal Pradesh,West Kameng NH 13 Slide 24 NH 13/ S of Shomtsher,27.441361,92.117417,Debris Slide NA,1157 AR/WKG/83A03/2021/027 Arunachal Pradesh West Kameng NH 13 Slide 24 NH 13/ S of Shomtsher 27.441361 92.117417 Debris Slide NA,6.35,seg_284662840_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1164,AR/WKG/83A03/2021/028,Arunachal Pradesh,West Kameng NH 13 Slide 25 NH 13/ NE of Senge,27.456278,92.109556,Debris Slide NA,1164 AR/WKG/83A03/2021/028 Arunachal Pradesh West Kameng NH 13 Slide 25 NH 13/ NE of Senge 27.456278 92.109556 Debris Slide NA,7.76,seg_284662840_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
1167,AP/WK/83E12/2008/A-12,Arunachal Pradesh,West Kameng Slide on Dirang -Tawang road,27.460278,92.110278,Rock Fall 2008,1167 AP/WK/83E12/2008/A-12 Arunachal Pradesh West Kameng Slide on Dirang -Tawang road  27.460278 92.110278 Rock Fall 2008,69.39,seg_284662840_0,,trunk,MATCHED,West Kameng,Rock Fall,True,True
1177,AR/WKG/83A03/2021/029,Arunachal Pradesh,West Kameng NH 13 Slide 26 NH 13/ N of Ngotengnang,27.483667,92.10925,Rock Slide NA,1177 AR/WKG/83A03/2021/029 Arunachal Pradesh West Kameng NH 13 Slide 26 NH 13/ N of Ngotengnang 27.483667 92.10925 Rock Slide NA,3.3,seg_884729744_0,,secondary,MATCHED,West Kameng,Rock Slide,True,True
1178,AR/WKG/83A03/2021/030,Arunachal Pradesh,West Kameng NH 13 Slide 27 NH 13/ NW of Kalobtse Mani,27.496333,92.104333,Rock Slide NA,1178 AR/WKG/83A03/2021/030 Arunachal Pradesh West Kameng NH 13 Slide 27 NH 13/ NW of Kalobtse Mani 27.496333 92.104333 Rock Slide NA,10.43,seg_884729744_0,,secondary,MATCHED,West Kameng,Rock Slide,True,True
1179,AR/WKG/83A03/2021/031,Arunachal Pradesh,West Kameng NH 13 Slide 28 NH 13/ NW of Kalobtse Mani,27.497222,92.104667,Debris Slide NA,1179 AR/WKG/83A03/2021/031 Arunachal Pradesh West Kameng NH 13 Slide 28 NH 13/ NW of Kalobtse Mani 27.497222 92.104667 Debris Slide NA,3.86,seg_884729744_0,,secondary,MATCHED,West Kameng,Debris Slide,True,True
1218,ARN/TWG/FM/2016-17/01,Arunachal Pradesh,Tawang Famla Slide,27.58741667,91.88694444,Debris Slide 22 April 2016,1218 ARN/TWG/FM/2016-17/01 Arunachal Pradesh Tawang Famla Slide 27.58741667 91.88694444 Debris Slide 22 April 2016,368.77,seg_540412989_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1219,ARN/TWG/FM/2016-17/02,Arunachal Pradesh,Tawang Famla Slide,27.58741667,91.88694444,Earth / soil Slide 22 April 2016,1219 ARN/TWG/FM/2016-17/02 Arunachal Pradesh Tawang Famla Slide 27.58741667 91.88694444 Earth / soil Slide 22 April 2016,368.77,seg_540412989_0,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1220,ARN/TWG/NYD/2016-17/06,Arunachal Pradesh,Tawang Nyungmadung Slide,27.59152778,91.88044444,Earth / soil Flows 23 April 2016,1220 ARN/TWG/NYD/2016-17/06 Arunachal Pradesh Tawang Nyungmadung Slide 27.59152778 91.88044444 Earth / soil Flows 23 April 2016,116.33,seg_560851692_0,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1221,ARN/TWG/RBR/2016-17/17,Arunachal Pradesh,Tawang Rabrang Sinking zone,27.58647222,91.89636111,Earth/Soil/Debris Sinking/subside nce NA,1221 ARN/TWG/RBR/2016-17/17 Arunachal Pradesh Tawang Rabrang Sinking zone 27.58647222 91.89636111 Earth/Soil/Debris Sinking/subside nce NA,443.36,seg_540412989_0,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1233,AR/WKG/78M14/2021/003,Arunachal Pradesh,Tawang NH 13 Slide 35 NH 13,27.576806,91.993444,Debris Slide NA,1233 AR/WKG/78M14/2021/003 Arunachal Pradesh Tawang NH 13 Slide 35 NH 13 27.576806 91.993444 Debris Slide NA,1.74,seg_1172016260_1,,trunk,MATCHED,Tawang,Debris Slide,True,True
1234,ARN/TWNG/78M14/2016/0018,Arunachal Pradesh,Tawang Dumgin Road sinking,27.579,91.868639,NA Subsidence 2016,1234 ARN/TWNG/78M14/2016/0018 Arunachal Pradesh Tawang Dumgin Road sinking  27.579 91.868639 NA Subsidence 2016,152.25,seg_560851692_1,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1235,AR/TAW/78M14/2014/22,Arunachal Pradesh,Tawang  NH-13,27.58006,91.97728,Rock cum Debris Slide 2013,1235 AR/TAW/78M14/2014/22 Arunachal Pradesh Tawang  NH-13 27.58006 91.97728 Rock cum Debris Slide 2013,57.47,seg_1172016260_0,,trunk,MATCHED,Tawang,Rock Cum Debris Slide,True,True
1236,AR/WKG/78M14/2021/002,Arunachal Pradesh,Tawang Four Bridge Camp Slide NH 13,27.583611,91.973056,Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,1236 AR/WKG/78M14/2021/002 Arunachal Pradesh Tawang Four Bridge Camp Slide NH 13 27.583611 91.973056 Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,5.29,seg_1172016260_0,,trunk,MATCHED,Tawang,Other/Unspecified (source header artifact),True,True
