slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record,distance_to_road_m,matched_segment_id,matched_road_name,matched_highway_class,match_status,district,movement_type,within_network_bbox,geographically_consistent
1237,AP/TAW/78M14-SE/2009-10/AR-,Arunachal Pradesh,Tawang Tawang Monastery/Arunachal Pradesh,27.584639,91.860917,Rock cum Debris  NA,1237 AP/TAW/78M14-SE/2009-10/AR- 1B Arunachal Pradesh Tawang Tawang Monastery/Arunachal Pradesh 27.584639 91.860917 Rock cum Debris  NA,474.75,seg_972662965_0,,tertiary,MATCHED,Tawang,Rock Cum Debris,True,True
1238,AP/TAW/78M14-SE/2009-10/AR-,Arunachal Pradesh,Tawang Tawang Monastery/Arunachal Pradesh,27.584639,91.860917,Rock cum Debris  NA,1238 AP/TAW/78M14-SE/2009-10/AR- 1C Arunachal Pradesh Tawang Tawang Monastery/Arunachal Pradesh 27.584639 91.860917 Rock cum Debris  NA,474.75,seg_972662965_0,,tertiary,MATCHED,Tawang,Rock Cum Debris,True,True
1239,AP/TAW/78M14-SE/2009-10/AR-,Arunachal Pradesh,Tawang Tawang Monastery/Arunachal Pradesh,27.584639,91.860917,Rock cum Debris  NA,1239 AP/TAW/78M14-SE/2009-10/AR- 1A Arunachal Pradesh Tawang Tawang Monastery/Arunachal Pradesh 27.584639 91.860917 Rock cum Debris  NA,474.75,seg_972662965_0,,tertiary,MATCHED,Tawang,Rock Cum Debris,True,True
1240,ARN/TWNG/787M14/2016/002,Arunachal Pradesh,Tawang Khremithang slide,27.586694,91.871444,NA Slide 2016,1240 ARN/TWNG/787M14/2016/002 1 Arunachal Pradesh Tawang Khremithang slide 27.586694 91.871444 NA Slide 2016,60.98,seg_1112682378_0,,tertiary,MATCHED,Tawang,Other/Unspecified,True,True
1241,ARN/TWNG/78M14/2016/0001,Arunachal Pradesh,Tawang Famla Slide,27.587417,91.886944,Debris Slide 22 April 2016,1241 ARN/TWNG/78M14/2016/0001 Arunachal Pradesh Tawang Famla Slide  27.587417 91.886944 Debris Slide 22 April 2016,368.82,seg_540412989_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1242,ARN/TWNG/78M14/2016/0002,Arunachal Pradesh,Tawang Famla Slide,27.587417,91.886944,NA Slide 22 April 2016,1242 ARN/TWNG/78M14/2016/0002 Arunachal Pradesh Tawang Famla Slide  27.587417 91.886944 NA Slide 22 April 2016,368.82,seg_540412989_0,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1243,ARN/TWNG/78M14/2016/0016,Arunachal Pradesh,Tawang Bomdir Supply Slide (Army),27.587611,91.894167,Debris Slide 2016,1243 ARN/TWNG/78M14/2016/0016 Arunachal Pradesh Tawang Bomdir Supply Slide (Army)  27.587611 91.894167 Debris Slide 2016,241.56,seg_540412989_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1244,ARN/TWG/78M14/2016/0028,Arunachal Pradesh,Tawang Govt. Girl Hr. Sec. School Slide Locality,27.589,91.873194,Earth Slide 2016,1244 ARN/TWG/78M14/2016/0028 Arunachal Pradesh Tawang Govt. Girl Hr. Sec. School Slide Locality 27.589 91.873194 Earth Slide 2016,197.19,seg_1113108547_0,,tertiary,MATCHED,Tawang,Earth Slide,True,True
1246,ARN/TWNG/78M14/2016/0022,Arunachal Pradesh,Tawang New Lebrang slide,27.589417,91.861444,NA Slide 23 April 2016,1246 ARN/TWNG/78M14/2016/0022 Arunachal Pradesh Tawang New Lebrang slide  27.589417 91.861444 NA Slide 23 April 2016,243.86,seg_972662965_0,,tertiary,MATCHED,Tawang,Other/Unspecified,True,True
1247,ARN/TWNG/78M14/2016/0007,Arunachal Pradesh,"Tawang Nyungmadung Slide near 4, 55 Bn. ITBP camp",27.589889,91.881194,NA Slide 2016,"1247 ARN/TWNG/78M14/2016/0007 Arunachal Pradesh Tawang Nyungmadung Slide near 4, 55 Bn. ITBP camp 27.589889 91.881194 NA Slide 2016",111.04,seg_560851692_0,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1248,ARN/TWG/78M14/2016/0029,Arunachal Pradesh,Tawang New Market Sinking zone Locality,27.590556,91.867667,Debris Subsidence 2016,1248 ARN/TWG/78M14/2016/0029 Arunachal Pradesh Tawang New Market Sinking zone Locality 27.590556 91.867667 Debris Subsidence 2016,58.52,seg_1113108547_0,,tertiary,MATCHED,Tawang,Debris,True,True
1249,ARN/TWG/78M14/2016/0030,Arunachal Pradesh,Tawang WRD Slide (North) Locality,27.590639,91.876806,Earth Slide 2016,1249 ARN/TWG/78M14/2016/0030 Arunachal Pradesh Tawang WRD Slide (North) Locality 27.590639 91.876806 Earth Slide 2016,157.81,seg_560851692_0,,trunk,MATCHED,Tawang,Earth Slide,True,True
1250,ARN/TWG/78M14/2016/0031,Arunachal Pradesh,Tawang WRD Slide (South) Locality,27.590639,91.876806,Debris Slide 2016,1250 ARN/TWG/78M14/2016/0031 Arunachal Pradesh Tawang WRD Slide (South) Locality 27.590639 91.876806 Debris Slide 2016,157.81,seg_560851692_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1251,ARN/TWNG/78M14/2016/0004,Arunachal Pradesh,Tawang Namet Slide,27.591389,91.9025,Rock cum Debris Slide 23 April 2016,1251 ARN/TWNG/78M14/2016/0004 Arunachal Pradesh Tawang Namet Slide  27.591389 91.9025 Rock cum Debris Slide 23 April 2016,177.01,seg_238491033_0,,trunk,MATCHED,Tawang,Rock Cum Debris Slide,True,True
1253,ARN/TWNG/78M14/2016/0006,Arunachal Pradesh,Tawang Nyungmadung Slide,27.591528,91.880444,NA Flow 2016,1253 ARN/TWNG/78M14/2016/0006 Arunachal Pradesh Tawang Nyungmadung Slide  27.591528 91.880444 NA Flow 2016,116.3,seg_560851692_0,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1254,ARN/TWNG/78M14/2016/0008,Arunachal Pradesh,Tawang All India Radio Colony Slide,27.591806,91.865028,NA Fall 22 April 2016,1254 ARN/TWNG/78M14/2016/0008 Arunachal Pradesh Tawang All India Radio Colony Slide  27.591806 91.865028 NA Fall 22 April 2016,89.74,seg_311848756_0,,tertiary,MATCHED,Tawang,Other/Unspecified,True,True
1255,ARN/TWNG/78M14/2016/0009,Arunachal Pradesh,Tawang Rubrang Slide,27.591833,91.865056,Debris Flow 2016,1255 ARN/TWNG/78M14/2016/0009 Arunachal Pradesh Tawang Rubrang Slide  27.591833 91.865056 Debris Flow 2016,92.59,seg_311848756_0,,tertiary,MATCHED,Tawang,Debris Flow,True,True
1256,ARN/TWNG/78M14/2016/0011,Arunachal Pradesh,Tawang Topon Colony slide,27.592639,91.867528,NA Slide 2016,1256 ARN/TWNG/78M14/2016/0011 Arunachal Pradesh Tawang Topon Colony slide  27.592639 91.867528 NA Slide 2016,7.17,seg_311848756_0,,tertiary,MATCHED,Tawang,Other/Unspecified,True,True
1257,ARN/TWNG/78M14/2016/0012,Arunachal Pradesh,Tawang Rubray (Shyo) Slide,27.592667,91.866222,Debris Flow 2016,1257 ARN/TWNG/78M14/2016/0012 Arunachal Pradesh Tawang Rubray (Shyo) Slide  27.592667 91.866222 Debris Flow 2016,93.58,seg_311848756_0,,tertiary,MATCHED,Tawang,Debris Flow,True,True
1258,ARN/TWNG/78M14/2016/0010,Arunachal Pradesh,Tawang D.C. & S. P. Bungalows Slide,27.593139,91.873889,NA Slide 22 April 2016,1258 ARN/TWNG/78M14/2016/0010 Arunachal Pradesh Tawang D.C. & S. P. Bungalows Slide  27.593139 91.873889 NA Slide 22 April 2016,27.78,seg_560851692_0,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1259,ARN/TWNG/78M14/2016/0023,Arunachal Pradesh,Tawang Changpu sinking zone,27.593361,91.879444,NA Subsidence 23 April 2016,1259 ARN/TWNG/78M14/2016/0023 Arunachal Pradesh Tawang Changpu sinking zone  27.593361 91.879444 NA Subsidence 23 April 2016,54.55,seg_560851692_0,,trunk,MATCHED,Tawang,Other/Unspecified,True,True
1260,ARN/TWNG/78M14/2016/0013,Arunachal Pradesh,Tawang Duda Slide (District Urban Development Authority Colony),27.594833,91.866417,Debris Slide 22 April 2016,1260 ARN/TWNG/78M14/2016/0013 Arunachal Pradesh Tawang Duda Slide (District Urban Development Authority Colony) 27.594833 91.866417 Debris Slide 22 April 2016,148.25,seg_311848756_0,,tertiary,MATCHED,Tawang,Debris Slide,True,True
1261,ARN/TWNG/78M14/2016/0014,Arunachal Pradesh,Tawang MG Road slide,27.594861,91.866444,NA Fall 2016,1261 ARN/TWNG/78M14/2016/0014 Arunachal Pradesh Tawang MG Road slide  27.594861 91.866444 NA Fall 2016,146.57,seg_311848756_0,,tertiary,MATCHED,Tawang,Other/Unspecified,True,True
1262,ARN/TWNG/78M14/2016/0003,Arunachal Pradesh,Tawang Shyinteng slide,27.595167,91.895444,Debris Slide 2016,1262 ARN/TWNG/78M14/2016/0003 Arunachal Pradesh Tawang Shyinteng slide  27.595167 91.895444 Debris Slide 2016,1.73,seg_238491033_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1263,ARN/TWNG/78M14/2016/0005,Arunachal Pradesh,Tawang Khinmai Monastery slide,27.596278,91.894333,Debris Slide 2016 Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,1263 ARN/TWNG/78M14/2016/0005 Arunachal Pradesh Tawang Khinmai Monastery slide  27.596278 91.894333 Debris Slide 2016 Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,79.71,seg_540412989_0,,trunk,MATCHED,Tawang,Other/Unspecified (source header artifact),True,True
1264,ARN/TWNG/78M14/2016/0024,Arunachal Pradesh,Tawang SSB Colony slide,27.596639,91.878972,Debris Slide 23 April 2016,1264 ARN/TWNG/78M14/2016/0024 Arunachal Pradesh Tawang SSB Colony slide  27.596639 91.878972 Debris Slide 23 April 2016,18.55,seg_560851692_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1265,ARN/TWNG/78M14/2016/0025,Arunachal Pradesh,Tawang Q.M. Store slide,27.596639,91.878972,Debris Slide 23 April 2016,1265 ARN/TWNG/78M14/2016/0025 Arunachal Pradesh Tawang Q.M. Store slide  27.596639 91.878972 Debris Slide 23 April 2016,18.55,seg_560851692_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1266,ARN/TWG/78M14/2016/0026,Arunachal Pradesh,Tawang SSB Workshop (South) Locality,27.599,91.876528,Debris Slide 2016,1266 ARN/TWG/78M14/2016/0026 Arunachal Pradesh Tawang SSB Workshop (South) Locality 27.599 91.876528 Debris Slide 2016,244.72,seg_560851692_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1267,ARN/TWG/78M14/2016/0027,Arunachal Pradesh,Tawang SSB Workshop (North) Locality,27.599806,91.876111,Debris Slide 2016,1267 ARN/TWG/78M14/2016/0027 Arunachal Pradesh Tawang SSB Workshop (North) Locality 27.599806 91.876111 Debris Slide 2016,297.41,seg_560851692_0,,trunk,MATCHED,Tawang,Debris Slide,True,True
1942,,Arunachal Pradesh,West Kameng NULL NULL,27.092699,92.58314,Debris Slide NA,1942 4691 Arunachal Pradesh West Kameng NULL NULL 27.092699 92.58314 Debris Slide NA,13.82,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
1975,,Arunachal Pradesh,West Kameng Pinjuli bridge Just before pinjuli bridge,27.084417,92.586622,Debris slide NA,1975 3515 Arunachal Pradesh West Kameng Pinjuli bridge Just before pinjuli bridge 27.084417 92.586622 Debris slide NA,8.9,seg_565306841_2,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
1979,,Arunachal Pradesh,West Kameng,27.08386,92.587656,rock slide NA,1979 4540 Arunachal Pradesh West Kameng 27.08386 92.587656 rock slide NA,6.56,seg_565306841_2,Doimara-Nichiphu,primary,MATCHED,West Kameng,Rock Slide,True,True
2021,,Arunachal Pradesh,West Kameng Near BRO camp,27.177138,92.576909,Debris slide NA,2021 6980 Arunachal Pradesh West Kameng Near BRO camp 27.177138 92.576909 Debris slide NA,13.44,seg_288458016_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
2022,,Arunachal Pradesh,West Kameng NE of BRO camp,27.178567,92.583154,Debris slide NA,2022 6981 Arunachal Pradesh West Kameng NE of BRO camp 27.178567 92.583154 Debris slide NA,32.11,seg_288458016_1,,trunk,MATCHED,West Kameng,Debris Slide,True,True
2023,,Arunachal Pradesh,West Kameng Near BRO camp,27.177138,92.576909,Debris slide NA,2023 6982 Arunachal Pradesh West Kameng Near BRO camp 27.177138 92.576909 Debris slide NA,13.44,seg_288458016_0,,trunk,MATCHED,West Kameng,Debris Slide,True,True
2024,,Arunachal Pradesh,West Kameng Near Jamiri village,27.184248,92.579624,Debris slide NA,2024 6983 Arunachal Pradesh West Kameng Near Jamiri village 27.184248 92.579624 Debris slide NA,129.64,seg_288458016_1,,trunk,MATCHED,West Kameng,Debris Slide,True,True
